Country,ageGroup,olives,grape,pistachio,carrot,fish,coconut oil,peach,cauliflower,garlic,papaya,pear,apricot,wheat,pecans,lamb,cranberries,onion,plum,sweet corn,peanuts,cocoa,watermelon,potato,sugar,cucumber,artichokes,strawberries,sunflower oil,pepper,kiwi,wheat flour,pork,sweet potatoes,chicken,orange,lard,peppermint,celery,pineapple,coffee,blueberries,tomato,olive oil,apple,walnuts,soybean oil,figs,butter,milk,lettuce,avocado,raspberries,cabbage,beef,palm oil,spinach,peas,rice,lima,pig,beans,banana,broccoli,barley,grapefruit,asparagus,turkey,corn oil,egg,hazelnuts,corn,honey,oats,cocoa butter,cheese
Austria,Adults,0.0022643837100342445,0.030056207529450086,0.004084896749635639,0.013228918467586422,0.01591047417648728,0.0,0.02007543891072026,0.019770471407685345,0.0005950440147107034,0.01929872480142822,0.026162358230805666,0.013692904740060973,0.02111550516586226,0.0,0.02041376223439962,0.0055323011097427564,0.0057199276008677614,0.03353153434248153,0.010112531795948386,0.0,0.0039043158247079935,0.017111535990599686,0.02091810720046907,0.0019075359931041307,0.014059121017840459,0.026117607564599524,0.010935944054142657,0.0,0.01249465722093277,0.013309465380295328,0.0,0.013041028641035292,0.0,0.020862368240084677,0.04094662369414672,0.0,0.0,0.0180764722306711,0.03210021225304227,0.07499814077928024,0.015374650758471147,0.013138070296032174,0.00212671947311739,0.033787265097185895,0.0035965805311752516,0.0,0.0033515452071813676,0.004026959338639888,0.02007492410787615,0.006076624116962523,0.016350308512321138,0.006132705881342736,0.014667030849085447,0.01938315672243447,0.0,0.018159181051248655,0.0089060041120665,0.019096755756965463,0.0,0.025367506185525156,0.01577427081749062,0.02802910030683611,0.014982243354175442,0.014409714518399737,0.04108484079948505,0.013702094609014035,0.02194986275394765,0.0,0.010611654979853826,0.00964936240071411,0.0074153888024881725,0.0024294493987613544,0.0,0.0,0.007997508188343334
Austria,Elderly,0.001367465152100138,0.02813071170034568,0.0,0.020365463158062758,0.03188147326039177,0.0,0.024419020573216724,0.019193350170548355,0.0,0.0,0.023808545058886316,0.0,0.028445445743289364,0.0,0.02520042923155967,0.0,0.004395423703179012,0.007276868130818577,0.0,0.0,0.0028057454638626025,0.021293385939845002,0.024124882370857546,0.0018085337112038644,0.015764919682068723,0.0,0.009376903900115226,0.0008131533850881173,0.013253534411661454,0.009767608229286684,0.0,0.01218047145133212,0.0,0.02040401950633625,0.030523775716521016,0.0037361101477021604,0.0,0.0,0.03732447294616178,0.07111062981126445,0.005860564937572016,0.01682819360645678,0.001465141234393004,0.0274271674660947,0.004029138394580761,0.0,0.005860564937572016,0.005092259168317147,0.023554809236020983,0.013186271109537037,0.0,0.0002930282468786008,0.02411988757119483,0.018209612484598754,0.0,0.019193350170548355,0.009621094105847383,0.01846077955335185,0.0,0.02216549381745986,0.023222488565129113,0.03056193043616657,0.04622520594509928,0.0,0.1465141234393004,0.0,0.022768294782467283,0.0,0.012859431911095525,0.002930282468786008,0.0,0.003390755428166675,0.0,0.0,0.007387788427659651
Austria,Very elderly,0.0,0.026182143462053113,0.0,0.039371644303839264,0.03253082110604719,0.0,0.02952873322787945,0.0,0.001771723993672767,0.0,0.025591568797495523,0.007874328860767853,0.039377609704491556,0.0,0.0,0.0,0.00853052293249852,0.0,0.0,0.0,0.0026575859905091505,0.034745476098138155,0.03526870452901814,0.0015994730498434702,0.03267846477218659,0.0,0.0,0.0,0.02022718226109742,0.013780075506343742,0.0,0.015824372422120016,0.0,0.029564525631792033,0.052167428702587025,0.009055478189883032,0.0,0.04330880873422319,0.013583217284824547,0.09170312152435908,0.0,0.01482061182008809,0.0029528733227879448,0.03770413936861782,0.00039371644303839266,0.0,0.007874328860767853,0.0055583497840714135,0.028390488895762064,0.0,0.0,0.032087890107629004,0.029233445895600656,0.03385961410130177,0.0,0.01929210570888124,0.0,0.011811493291151779,0.0,0.029174388429144892,0.026247762869226192,0.04429309984181917,0.0,0.0,0.0,0.02578842701901472,0.013780075506343742,0.0,0.014764366613939725,0.0,0.0,0.004330880873422319,0.0,0.0,0.010718930161720241
Austria,Other children,0.001893765641363852,0.036566223840992375,0.011682499629710024,0.009123234180899246,0.02780441651774619,0.0,0.04000239313022727,0.005689494144665079,0.00029994994806850617,0.0,0.02519038982656224,0.0,0.022603493727550352,0.0,0.0,0.0,0.005146348533142375,0.031542749000217064,0.010458173668516414,0.003115333234589338,0.006637475608906123,0.05666012320409362,0.022230058667344486,0.0022965776642242934,0.013303778602831579,0.0,0.013244125316323626,0.0010258938372748087,0.002251612658394507,0.011682499629710024,0.022275394280475938,0.017684815881523357,0.0,0.012443627042413166,0.06602698451434309,0.0016062880681345097,0.0,0.0010409941634330912,0.06328020632759578,0.02557875505591925,0.004867708179045842,0.006819022656183081,0.0016571138953925784,0.0549596055774379,0.0058422882592665554,0.0,0.005841249814855012,0.007858861752798495,0.06647860557058208,0.007729419909769246,0.0008378299317773687,0.012169270447614589,0.013407161088933854,0.018115205617847165,0.0,0.02349117025542092,0.007209348404824902,0.024390153579490707,0.0,0.025380056232831273,0.0073923937031897605,0.034522692025919455,0.010755428381316818,0.003941480666737002,0.015576666172946719,0.009735416358091706,0.020061918520364912,0.00044743973581789386,0.012125347699534198,0.0,0.008460026747326108,0.0042608510003641995,0.0,0.0,0.015278592267128407
Austria,Adolescents,0.0013578216834029208,0.02744664946755974,0.006897690188386731,0.007377738769097598,0.020307627787955546,0.0,0.024967622234058743,0.007442320309511417,0.00015257299734514518,0.0,0.044753982580763,0.016628341325876837,0.02089165972203954,0.0,0.03553070961578397,0.0,0.0059692234515396105,0.007119371339210421,0.0094604768664574,0.0,0.005104157726096764,0.03159967470919052,0.022594361545206196,0.002214551364108027,0.012075922155219588,0.0,0.0165750363298287,0.0010513736328047175,0.0019112351794669067,0.01578169747244299,0.014802839892916649,0.016198556703090755,0.0,0.012893607906869704,0.07603763843488034,0.002191814750631128,0.0,0.0013901793460449024,0.01747414847724637,0.0592432480805435,0.01530942337312435,0.007370007329143423,0.0011821470624572281,0.05764139557764544,0.007251417890355298,0.0,0.0,0.005049489054074294,0.05168315495472904,0.009327069224364683,0.009912688256115652,0.017988291692057658,0.01739277847266141,0.01993874932554686,0.0,0.023051255244950504,0.006693713109046583,0.02227679188934944,0.0,0.023439740904681535,0.011448846036295389,0.028645008022159097,0.018566724916701745,0.003580254935474684,0.026529577647641273,0.01380581534398155,0.01889895734420962,0.00045723727075709734,0.009601267700265629,0.00365518625367502,0.007236451384478769,0.0060133709334653385,0.0,0.0,0.010609336805015196
Austria,Toddlers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Infants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Lactating women,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Pregnant women,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,Adults,0.004275016853303334,0.024847941511110506,0.004382593950826339,0.009618125205237915,0.014246157572226087,0.0,0.026249268698435312,0.01927245209117447,0.00034957876871173166,0.0,0.027939647626814657,0.012496594543747772,0.029867994208316293,0.0,0.017613161301704226,0.0059475107530789694,0.004576184072535894,0.015104416734655741,0.006600098464624713,0.004097875690298823,0.005907881744054047,0.03601789358738091,0.026714290421084814,0.003915556777293461,0.010313232203609057,0.01023087616162246,0.02189209041502642,0.001294515579096326,0.005451458315083783,0.016675735528539314,0.03474763808526383,0.01062653382128258,0.0,0.011730188965782812,0.041333415637200686,0.0006251398163820231,0.0,0.007677484182854397,0.03254417106602664,0.10518387535677282,0.0180885363536465,0.015088537676351736,0.0017137110514432521,0.032059118162862846,0.006558624996657561,0.00026546735952611604,0.009863317102916363,0.004944170828673845,0.030933968887453648,0.005621497654392093,0.014619878622471248,0.01106398246453897,0.01394588071736979,0.015414880518058277,0.0017268522705614533,0.01441987545938579,0.011095290265153825,0.019813387126409485,0.0,0.01802460721761969,0.012535813443792924,0.023959898388351365,0.01827393074363633,0.0,0.03049602480698211,0.015908415509623255,0.01100106699899614,0.0012069568646556085,0.008660837886219765,0.005547151148451603,0.004558724078741879,0.005287279176170872,0.0,0.0,0.00693572050772662
